--- TRADE SIMULATION RESULTS (M1 VERIFIED) ---
Period: 2024-01-01 to Present
Initial Equity: $1000.00
Threshold: 95.0%
Risk per trade: 1.0%
-------------------------------------------------------------------------------------
Entry Time                Exit Time                 Type     Status       Equity         
-------------------------------------------------------------------------------------
2024-01-02 03:15:00       2024-01-02 04:07:00       SELL     TP           $1020.00       
2024-01-02 04:15:00       2024-01-02 07:35:00       BUY      TP           $1040.40       
2024-01-02 10:15:00       2024-01-02 10:33:00       BUY      SL           $1030.00       
2024-01-02 11:00:00       2024-01-02 11:39:00       BUY      TP           $1050.60       
2024-01-02 12:30:00       2024-01-02 12:48:00       SELL     SL           $1040.09       
2024-01-02 13:00:00       2024-01-02 13:44:00       SELL     TP           $1060.89       
2024-01-02 15:15:00       2024-01-02 15:32:00       SELL     SL           $1050.28       
2024-01-02 16:45:00       2024-01-02 16:46:00       SELL     TP           $1071.29       
2024-01-02 17:00:00       2024-01-02 17:37:00       SELL     TP           $1092.71       
2024-01-02 18:00:00       2024-01-02 18:01:00       SELL     TP           $1114.57       
2024-01-02 18:15:00       2024-01-02 20:58:00       SELL     TP           $1136.86       
2024-01-03 10:00:00       2024-01-03 10:22:00       SELL     TP           $1159.60       
2024-01-03 10:30:00       2024-01-03 10:31:00       SELL     TP           $1182.79       
2024-01-03 12:00:00       2024-01-03 13:23:00       SELL     TP           $1206.44       
2024-01-03 13:30:00       2024-01-03 15:45:00       SELL     TP           $1230.57       
2024-01-03 17:00:00       2024-01-04 06:00:00       SELL     TIMEOUT_SL   $1218.27       
2024-01-04 09:00:00       2024-01-04 09:38:00       SELL     SL           $1206.09       
2024-01-04 10:30:00       2024-01-04 10:31:00       BUY      TP           $1230.21       
2024-01-04 12:15:00       2024-01-04 13:53:00       SELL     TP           $1254.81       
2024-01-04 17:15:00       2024-01-04 17:16:00       SELL     TP           $1279.91       
2024-01-05 04:15:00       2024-01-05 05:02:00       SELL     TP           $1305.51       
2024-01-05 09:00:00       2024-01-05 09:01:00       SELL     TP           $1331.62       
2024-01-05 09:15:00       2024-01-05 11:54:00       SELL     TP           $1358.25       
2024-01-05 13:45:00       2024-01-05 14:04:00       SELL     SL           $1344.67       
2024-01-05 14:30:00       2024-01-05 15:01:00       SELL     SL           $1331.22       
2024-01-05 15:30:00       2024-01-05 17:00:00       BUY      TP           $1357.84       
2024-01-05 17:15:00       2024-01-05 18:47:00       SELL     TP           $1385.00       
2024-01-08 12:00:00       2024-01-08 13:05:00       SELL     TP           $1412.70       
2024-01-08 17:30:00       2024-01-08 17:49:00       SELL     SL           $1398.57       
2024-01-08 18:00:00       2024-01-08 18:04:00       SELL     TP           $1426.54       
2024-01-08 18:15:00       2024-01-09 07:15:00       SELL     TIMEOUT_SL   $1412.28       
2024-01-09 12:15:00       2024-01-09 12:55:00       SELL     TP           $1440.52       
2024-01-09 13:00:00       2024-01-09 13:01:00       BUY      TP           $1469.34       
2024-01-09 15:15:00       2024-01-09 15:37:00       BUY      TP           $1498.72       
2024-01-09 16:00:00       2024-01-09 16:30:00       SELL     TP           $1528.70       
2024-01-09 17:00:00       2024-01-09 18:00:00       SELL     TP           $1559.27       
2024-01-09 18:45:00       2024-01-09 19:18:00       SELL     TP           $1590.46       
2024-01-10 04:45:00       2024-01-10 05:11:00       SELL     TP           $1622.26       
2024-01-10 05:15:00       2024-01-10 05:41:00       SELL     TP           $1654.71       
2024-01-10 05:45:00       2024-01-10 08:53:00       SELL     TP           $1687.80       
2024-01-10 09:00:00       2024-01-10 10:02:00       BUY      TP           $1721.56       
2024-01-10 10:30:00       2024-01-10 12:02:00       BUY      TP           $1755.99       
2024-01-10 12:15:00       2024-01-10 13:15:00       SELL     TP           $1791.11       
2024-01-10 15:15:00       2024-01-10 16:46:00       SELL     TP           $1826.93       
2024-01-10 17:30:00       2024-01-10 17:31:00       SELL     TP           $1863.47       
2024-01-10 17:45:00       2024-01-10 19:53:00       SELL     TP           $1900.74       
2024-01-11 15:00:00       2024-01-11 15:23:00       SELL     SL           $1881.73       
2024-01-11 15:30:00       2024-01-12 04:30:00       SELL     TIMEOUT_SL   $1862.92       
2024-01-12 11:15:00       2024-01-12 11:25:00       SELL     TP           $1900.18       
2024-01-12 11:30:00       2024-01-12 11:53:00       SELL     TP           $1938.18       
2024-01-12 12:00:00       2024-01-12 12:42:00       BUY      TP           $1976.94       
2024-01-12 15:00:00       2024-01-12 15:20:00       BUY      SL           $1957.17       
